600765.SH,中航重机
600766.SH,园城黄金
600768.SH,宁波富邦
600769.SH,祥龙电业
600770.SH,综艺股份
600694.SH,大商股份
600695.SH,绿庭投资
900919.SH,绿庭B股
600697.SH,欧亚集团
600698.SH,湖南天雁
900946.SH,天雁B股
600030.SH,中信证券
600033.SH,福建高速
600036.SH,招商银行
600746.SH,江苏索普
600748.SH,上实发展
600750.SH,江中药业
600890.SH,中房股份
600891.SH,秋林集团
600961.SH,株冶集团
600799.SH,*ST龙科
600800.SH,天津磁卡
600801.SH,华新水泥
900933.SH,华新B股
600802.SH,福建水泥
600803.SH,新奥股份
600805.SH,悦达投资
600807.SH,天业股份
600002.SH,齐鲁石化
600003.SH,ST东北高
600992.SH,贵绳股份
600993.SH,马应龙
600491.SH,龙元建设
600963.SH,岳阳林纸
600111.SH,北方稀土
600113.SH,浙江东日
600115.SH,东方航空
600116.SH,三峡水利
600117.SH,西宁特钢
600104.SH,上汽集团
600105.SH,永鼎股份
600106.SH,重庆路桥
600107.SH,美尔雅
600108.SH,亚盛集团
600109.SH,国金证券
600016.SH,民生银行
600019.SH,宝钢股份
600988.SH,赤峰黄金
600976.SH,健民集团
600497.SH,驰宏锌锗
600986.SH,科达股份
600410.SH,华胜天成
600985.SH,雷鸣科化
600990.SH,四创电子
600114.SH,东睦股份
601555.SH,东吴证券
600837.SH,海通证券
600118.SH,中国卫星
601991.SH,大唐发电
900922.SH,三毛B股
600689.SH,上海三毛
600690.SH,青岛海尔
600692.SH,亚通股份
600693.SH,东百集团
601628.SH,中国人寿
601318.SH,中国平安
601601.SH,中国太保
600119.SH,长江投资
600120.SH,浙江东方
600122.SH,宏图高科
600123.SH,兰花科创
600125.SH,铁龙物流
600126.SH,杭钢股份
600127.SH,金健米业
600128.SH,弘业股份
600129.SH,太极集团
600131.SH,岷江水电
600303.SH,曙光股份
600305.SH,恒顺醋业
601336.SH,新华保险
600873.SH,梅花生物
600861.SH,北京城乡
600863.SH,内蒙华电
600864.SH,哈投股份
600865.SH,百大集团
600867.SH,通化东宝
600868.SH,梅雁吉祥
600869.SH,智慧能源
601890.SH,亚星锚链
601717.SH,郑煤机
601877.SH,正泰电器
601798.SH,蓝科高新
601098.SH,中南传媒
601888.SH,中国国旅
601618.SH,中国中冶
601179.SH,中国西电
601188.SH,龙江交通
601218.SH,吉鑫科技
603123.SH,翠微股份
601996.SH,丰林集团
603002.SH,宏昌电子
601233.SH,桐昆股份
601390.SH,中国中铁
600998.SH,九州通
601008.SH,连云港
601958.SH,金钼股份
601001.SH,大同煤业
601880.SH,大连港
601002.SH,晋亿实业
601007.SH,金陵饭店
600874.SH,创业环保
600875.SH,东方电气
600876.SH,洛阳玻璃
600878.SH,*ST北科
600879.SH,航天电子
600880.SH,博瑞传播
600881.SH,亚泰集团
